Symbol,Date,Open,High,Low,Close,Volume
AACG,20 Sep 2024,0.53,0.5312,0.51,0.5103,8000
AADI,20 Sep 2024,1.83,1.95,1.81,1.93,474200
AADR,20 Sep 2024,63.87,63.87,63.87,63.87,100
AAGR,20 Sep 2024,0.1447,0.15,0.1355,0.15,2513900
AAGRW,20 Sep 2024,0.0071,0.0071,0.0052,0.0061,52200
AAL,20 Sep 2024,11.07,11.12,10.88,11.01,165832000
AAME,20 Sep 2024,1.59,1.65,1.43,1.43,16500
AAOI,20 Sep 2024,14.09,14.15,13.5501,13.83,1552700
AAON,20 Sep 2024,101.98,104.73,101.11,104.05,1385900
AAPB,20 Sep 2024,29.33,30.02,28.69,28.93,96600
AAPD,20 Sep 2024,16.79,16.95,16.57,16.89,666900
AAPL,20 Sep 2024,229.97,233.09,227.62,228.2,318679800
AAPU,20 Sep 2024,37.46,38.43,36.7,36.96,980000
AAXJ,20 Sep 2024,73.97,74.115,73.68,74,697600
ABAT,20 Sep 2024,1.06,1.21,0.99,1.04,6150900
ABCL,20 Sep 2024,2.73,2.73,2.5,2.59,3247700
ABCS,20 Sep 2024,28.22,28.26,28.2001,28.2197,2800
ABEO,20 Sep 2024,5.81,6.02,5.72,6.02,439400
ABL,20 Sep 2024,9.92,10.24,9.7,10.22,1067100
ABLLL,20 Sep 2024,26.112,26.34,25.962,26.33,2400
ABLLW,20 Sep 2024,1.51,1.67,1.42,1.61,413900
ABLV,20 Sep 2024,0.9301,0.96,0.93,0.9401,5100
ABNB,20 Sep 2024,129.83,131.95,129.03,131.18,12476300
ABOS,20 Sep 2024,2.55,2.56,2.49,2.5,360400
ABSI,20 Sep 2024,4.31,4.44,4.06,4.32,1692500
ABTS,20 Sep 2024,0.539,0.54,0.5072,0.52,4400
ABUS,20 Sep 2024,4.15,4.18,4.015,4.02,7512000
ABVC,20 Sep 2024,0.6824,0.6957,0.6563,0.6957,64600
ABVE,20 Sep 2024,0.58,0.58,0.55,0.575,28500
ABVEW,20 Sep 2024,0.02,0.02,0.0175,0.0175,14700
ABVX,20 Sep 2024,11.62,11.69,11.2,11.3,41400
ACAB,20 Sep 2024,11.5,12.6,11.26,11.57,7400
ACABU,20 Sep 2024,11.5,11.5,11.5,11.5,300
ACAC,20 Sep 2024,11.02,13.5,11.02,13.48,3700
ACACU,20 Sep 2024,12.94,15,12.36,13.28,5000
ACAD,20 Sep 2024,16.41,16.59,16.18,16.53,1526000
ACB,20 Sep 2024,5.77,5.8085,5.635,5.72,568700
ACCD,20 Sep 2024,4.15,4.16,3.91,3.97,1795400
ACDC,20 Sep 2024,6.44,6.6,6.2,6.44,726200
ACET,20 Sep 2024,1.53,1.53,1.48,1.53,309500
ACGL,20 Sep 2024,111.55,113.42,110.66,113.24,3369100
ACGLN,20 Sep 2024,20.61,20.67,20.46,20.65,110700
ACGLO,20 Sep 2024,23.84,23.9221,23.72,23.77,23200
ACHC,20 Sep 2024,77.2,77.62,76.31,76.4,984300
ACHL,20 Sep 2024,1,1.06,0.951,1.04,1964100
ACHV,20 Sep 2024,4.53,4.63,4.5,4.6,233200
ACIC,20 Sep 2024,11.52,11.74,11.33,11.36,443800
ACIU,20 Sep 2024,3.7,3.72,3.64,3.69,105200
ACIW,20 Sep 2024,49.31,50.8,49.24,50.33,2429700
ACLS,20 Sep 2024,100.32,101.8735,98.59,101.29,3094900
ACLX,20 Sep 2024,85.37,88.66,83.98,86.61,1351400
ACMR,20 Sep 2024,17.24,17.3744,16.88,17.04,767600
ACNB,20 Sep 2024,43.36,44.15,43.1741,43.47,51100
ACNT,20 Sep 2024,8.59,9.65,8.59,9.65,105000
ACON,20 Sep 2024,0.187,0.1888,0.177,0.177,216600
ACONW,20 Sep 2024,0.0328,0.04,0.0299,0.038,84400
ACRS,20 Sep 2024,1.22,1.22,1.15,1.15,781400
ACRV,20 Sep 2024,7.5,7.71,7.33,7.47,519200
ACST,20 Sep 2024,2.7903,2.7985,2.645,2.68,40900
ACT,20 Sep 2024,36.86,36.885,36.19,36.28,563400
ACTG,20 Sep 2024,4.64,4.69,4.56,4.58,576300
ACTU,20 Sep 2024,8,8.2,7.01,7.31,109700
ACVA,20 Sep 2024,20.61,20.94,20.4,20.75,2603300
ACWI,20 Sep 2024,117.85,118,117.28,117.76,2584000
ACWX,20 Sep 2024,55.96,55.96,55.58,55.73,287100
ACXP,20 Sep 2024,2.0319,2.0319,1.95,2.01,71400
ADAG,20 Sep 2024,2.25,2.4,2.2004,2.4,58100
ADAP,20 Sep 2024,1.03,1.03,0.98,0.9961,840800
ADBE,20 Sep 2024,526.44,528.625,515.72,522.3,6100600
ADD,20 Sep 2024,1.78,1.85,1.64,1.7,1143200
ADEA,20 Sep 2024,12.63,12.79,12.48,12.52,1932600
ADGM,20 Sep 2024,3.96,3.9763,3.78,3.85,28700
ADI,20 Sep 2024,231.97,232.48,224.35,226.78,5009700
ADIL,20 Sep 2024,1.05,1.09,1.0406,1.05,86700
ADMA,20 Sep 2024,19.87,20.16,19.43,19.98,45181900
ADN,20 Sep 2024,3.29,3.3435,2.83,3.14,42000
ADNWW,20 Sep 2024,0.0094,0.0094,0.008,0.009,3300
ADP,20 Sep 2024,276.78,278.005,274.3,276.41,3271500
ADPT,20 Sep 2024,4.72,4.75,4.5,4.65,1289500
ADSE,20 Sep 2024,10.2,10.98,10.19,10.92,237500
ADSEW,20 Sep 2024,2.05,2.17,1.792,2.17,9900
ADSK,20 Sep 2024,270.58,272.72,266.5,267.29,2551300
ADTN,20 Sep 2024,5.65,5.88,5.65,5.74,1220200
ADTX,20 Sep 2024,0.4,0.4,0.37,0.3826,7303400
ADUS,20 Sep 2024,133.05,133.275,130.09,130.44,414100
ADV,20 Sep 2024,3.94,4,3.83,3.86,4060900
ADVM,20 Sep 2024,7.42,7.6889,7.38,7.49,281900
ADVWW,20 Sep 2024,0.0299,0.0299,0.0299,0.0299,2200
ADXN,20 Sep 2024,9.7,10.4,9.65,9.84,39400
AEAE,20 Sep 2024,11.11,11.11,11.11,11.11,400
AEHL,20 Sep 2024,1.02,1.04,0.9259,0.9772,135400
AEHR,20 Sep 2024,12.81,12.9,12.148,12.31,821500
AEI,20 Sep 2024,1.23,1.23,1.09,1.23,22800
AEIS,20 Sep 2024,102.62,102.62,100.48,101.59,605600
AEMD,20 Sep 2024,0.392,0.42,0.3545,0.358,5340000
AENT,20 Sep 2024,2.46,3.45,2.41,2.73,4226300
AENTW,20 Sep 2024,0.07,0.0725,0.0399,0.0511,385900
AEP,20 Sep 2024,102,102.255,101.07,102.15,5395200
AERT,20 Sep 2024,2.2467,2.45,2.2467,2.31,20700
AEYE,20 Sep 2024,23.43,25.5,23.43,25.3,324800
AFBI,20 Sep 2024,21.4101,21.85,21.4101,21.85,28700
AFCG,20 Sep 2024,10.66,10.76,10.65,10.7,226200
AFJK,20 Sep 2024,10.48,10.48,10.48,10.48,17200
AFMD,20 Sep 2024,3.9,3.9849,3.65,3.69,225600
AFRI,20 Sep 2024,11.56,11.56,11.27,11.38,21200
AFRIW,20 Sep 2024,1.45,1.45,1.32,1.32,300
AFRM,20 Sep 2024,45,46,43.92,44.93,10703200
AFYA,20 Sep 2024,16.88,16.88,16.355,16.4,113200
AGAE,20 Sep 2024,1.42,1.55,1.42,1.5,171700
AGBA,20 Sep 2024,2.1,2.1,1.86,1.86,1863300
AGBAW,20 Sep 2024,0.25,0.26,0.1553,0.202,221200
AGEN,20 Sep 2024,6.14,6.38,5.81,5.84,980200
AGFY,20 Sep 2024,0.26,0.2636,0.253,0.253,133400
AGIO,20 Sep 2024,47.18,47.7,46.49,46.55,1012700
AGIX,20 Sep 2024,25.0745,25.0745,25.0745,25.0745,100
AGMH,20 Sep 2024,1.51,1.64,1.48,1.54,104900
AGMI,20 Sep 2024,28.31,28.39,28.31,28.39,1100
AGNC,20 Sep 2024,10.63,10.67,10.47,10.49,27374000
